Ride_Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Ride_Revenue,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images,Ride Month,Ride Day,Cancellation Flag,Ride_Date_Clean
7/26/2024,2:00:00 PM,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,NULL,NULL,NULL,Personal & Car related issue,NULL,NULL,444,NULL,0,0,0,#NAME?,Jul,Fri,1,7/26/2024
7/25/2024,10:20:00 PM,CNR2940424040,Success,CID225428,Bike,Magadi Road,Varthur,203,30,NULL,NULL,No,NULL,158,Cash,13,4.1,4,#NAME?,Jul,Thu,0,7/25/2024
7/30/2024,7:59:00 PM,CNR2982357879,Success,CID270156,Prime SUV,Sahakar Nagar,Varthur,238,130,NULL,NULL,No,NULL,386,UPI,40,4.2,5,#NAME?,Jul,Tue,0,7/30/2024
7/22/2024,3:15:00 AM,CNR2395710036,Canceled by Customer,CID581320,eBike,HSR Layout,Vijayanagar,NULL,NULL,Driver is not moving towards pickup location,NULL,NULL,NULL,384,NULL,0,0,0,#NAME?,Jul,Mon,1,7/22/2024
7/2/2024,9:02:00 AM,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,252,80,NULL,NULL,No,NULL,822,Credit Card,45,4,3,#NAME?,Jul,Tue,0,7/2/2024
7/13/2024,4:42:00 AM,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,231,90,NULL,NULL,No,NULL,173,UPI,41,3.4,5,#NAME?,Jul,Sat,0,7/13/2024
7/23/2024,9:51:00 AM,CNR3612067560,Success,CID476071,Bike,Tumkur Road,Whitefield,133,40,NULL,NULL,No,NULL,140,Cash,49,3.2,4,#NAME?,Jul,Tue,0,7/23/2024
7/11/2024,11:12:00 AM,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,NULL,NULL,NULL,Personal & Car related issue,NULL,NULL,344,NULL,0,0,0,#NAME?,Jul,Thu,1,7/11/2024
7/1/2024,7:19:00 PM,CNR5030602354,Driver Not Found,CID999840,Mini,Chamarajpet,Peenya,NULL,NULL,NULL,NULL,NULL,NULL,839,NULL,0,0,0,#NAME?,Jul,Mon,1,7/1/2024
7/18/2024,1:31:00 AM,CNR6328453219,Canceled by Driver,CID907133,Auto,RT Nagar,Varthur,NULL,NULL,NULL,Personal & Car related issue,NULL,NULL,893,NULL,0,0,0,#NAME?,Jul,Thu,1,7/18/2024
